,home_games_played,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_recent_avg_goals,home_recent_avg_conceded,home_recent_avg_goal_diff,home_avg_shots,home_avg_shots_on_target,home_shot_accuracy,home_venue_games,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_avg_corners,away_games_played,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_recent_avg_goals,away_recent_avg_conceded,away_recent_avg_goal_diff,away_avg_shots,away_avg_shots_on_target,away_shot_accuracy,away_venue_games,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_avg_corners
home_games_played,1.0,-0.004224147167800227,-0.07644312559244656,0.04106150057984375,-0.05053825772621336,-0.09285322870547195,0.02645232461202951,0.14537452487327063,0.25966936766134774,0.33002547399162147,0.996870728281255,0.06593923972246851,0.10627661231927141,0.03373516546086257,0.06682315612808298,0.22314204941383498,0.9991002522192076,-0.01911635905314054,0.016520756837181603,-0.021876236302080992,-0.07178842241111114,-0.0423684947273988,-0.01992377917825133,0.07176086700422594,0.22384924925309163,0.3407301765433305,0.9959708232772271,0.12051877478780039,0.06071026526038329,-0.09121186402500593,0.04112626517728563,0.12040757729741905
home_avg_goals_scored,-0.004224147167800227,1.0,-0.4020712423326421,0.8521438401875067,0.8130195823780267,-0.34036846163664447,0.7390827335897134,0.5708984193821588,0.6404896723551629,0.4060825504522197,0.003449315108342269,0.7337087921141343,-0.15949859503244615,0.34626070833926137,0.7183168278358972,0.41141285108625797,-0.005106811366564523,-0.12954994854575685,-0.14681989242260288,0.0013916968628207092,-0.07722948547242793,-0.1094497865744107,0.019607012378972773,-0.10099805472691618,-0.09654247350421966,-0.040546244177962286,-0.0014451530041152659,-0.019504089527942643,-0.11254031228118648,0.05208090489261906,-0.005655767184572023,-0.08568163643781675
home_avg_goals_conceded,-0.07644312559244656,-0.4020712423326421,1.0,-0.8217673868472787,-0.3059523612101131,0.7629880170822797,-0.6812782723702925,-0.30905925478388974,-0.369323771204937,-0.32910814106269676,-0.07371423386299024,-0.31879646529435235,0.5404500993695549,-0.7406957529679579,-0.2755406244234463,-0.27590911830687,-0.07667889598941688,0.0036915713937776856,0.14981800615796717,-0.08425594452584337,-0.008768734516847487,0.1285699878422519,-0.08837404026442448,0.10579410238474056,0.04650931185984792,-0.08499880365628164,-0.07905526533652148,-0.08301547972935988,-0.0772257967245834,-0.045593319432195765,-0.12967150419542772,0.11105875747881698
home_avg_goal_diff,0.04106150057984375,0.8521438401875067,-0.8217673868472787,1.0,0.6808418873308979,-0.6479050116968091,0.8493418609969919,0.5319350271902997,0.6096883392660577,0.44082167020509694,0.04427735816855971,0.638824248494848,-0.40815227322567027,0.6388310737929366,0.604522675013165,0.41373353242972105,0.04064693251164374,-0.08273447639360867,-0.17699954921935993,0.04902183112185676,-0.04305159228417357,-0.1415983885681082,0.06271167780394774,-0.12332115682034814,-0.08666457215103804,0.023346592710394253,0.044283934718269614,0.03530849406194294,-0.025901052233768766,0.05847066856413692,0.07059273568509505,-0.1167980462660013
home_recent_avg_goals,-0.05053825772621336,0.8130195823780267,-0.3059523612101131,0.6808418873308979,1.0,-0.2241000697633291,0.7855254910485968,0.4726877272324355,0.5124877129826381,0.2976228474946841,-0.04768365365669508,0.5638441826716443,-0.11706308042986943,0.2882458750911635,0.6056465486512296,0.3247363615135997,-0.05176884951714636,-0.09930605351412498,-0.16094220553343716,0.029053984942166797,-0.010409243572377748,-0.12802721680735207,0.07542976530451398,-0.04633816391587091,-0.05483912140082462,-0.04626338951528304,-0.04839152155182903,0.0038702351322913013,-0.1134462313573882,0.07749907978931372,0.018078552752530615,-0.04802563646873769
home_recent_avg_conceded,-0.09285322870547195,-0.34036846163664447,0.7629880170822797,-0.6479050116968091,-0.2241000697633291,1.0,-0.7791263990650622,-0.30323250297030163,-0.34542513518160856,-0.2602166755593584,-0.09556159927866147,-0.23756891333331062,0.4151481271830649,-0.5366368270429878,-0.27273658965064296,-0.2484919342173589,-0.09332182083698391,-0.0034242592362467563,0.11496658962614786,-0.06868932675771214,0.015078976198780075,0.09347337059531716,-0.0501596203863607,0.10747984492156072,0.061072477463373874,-0.0555654709319659,-0.10161678875937494,-0.07268461168188546,-0.06685165406299809,-0.03710166370810384,-0.11140316881748569,0.11660892491501203
home_recent_avg_goal_diff,0.02645232461202951,0.7390827335897134,-0.6812782723702925,0.8493418609969919,0.7855254910485968,-0.7791263990650622,1.0,0.49659167041354335,0.5489835265936879,0.3566711256736774,0.030008241040166122,0.5135309079631483,-0.3389085430395505,0.5261606750918909,0.5627500469513331,0.3666662911133872,0.025958321541176225,-0.06170196063977802,-0.17652370798736444,0.06230459460708115,-0.01627033963603281,-0.1417041633498715,0.08036875020421233,-0.09805341323459443,-0.07405373859150821,0.005525080117914491,0.03339784141403789,0.04864266018823502,-0.03052221784405619,0.07340825644049608,0.08236730924080353,-0.10493561704912238
home_avg_shots,0.14537452487327063,0.5708984193821588,-0.30905925478388974,0.5319350271902997,0.4726877272324355,-0.30323250297030163,0.49659167041354335,1.0,0.9315620433960057,0.20333922327124881,0.15885040586863194,0.5246877269600702,-0.0420473532679236,0.08175821741946235,0.49642606747779433,0.794891506774944,0.14257008088157067,0.02877208634602997,-0.03594390002050204,0.039332352614476485,0.02806433280965375,-0.06561084343890054,0.06059124374585619,-0.004409050877391546,0.043942530531534435,0.10132518915358049,0.14797420443902035,0.0775052563825739,0.03597248077077767,-0.016705749005070665,0.06088149885321189,-0.010592417344389883
home_avg_shots_on_target,0.25966936766134774,0.6404896723551629,-0.369323771204937,0.6096883392660577,0.5124877129826381,-0.34542513518160856,0.5489835265936879,0.9315620433960057,1.0,0.5361121265162345,0.27038880772087615,0.5844057778629363,-0.0838828262191616,0.17319316589549189,0.5628975179439493,0.787676273647738,0.2571245155100662,0.013334273303661874,-0.03506514299442772,0.028872706225142597,0.01025422745348636,-0.07632039296214485,0.055775730637760916,-0.02562382812298058,0.04193192618495978,0.12871816151317225,0.26186514653083925,0.07842017687585899,0.05418291339491268,-0.04128427904448077,0.07181174618094717,-0.02754893524864818
home_shot_accuracy,0.33002547399162147,0.4060825504522197,-0.32910814106269676,0.44082167020509694,0.2976228474946841,-0.2602166755593584,0.3566711256736774,0.20333922327124881,0.5361121265162345,1.0,0.32946001318544865,0.35306832583746195,-0.12357903923140068,0.33058779691872836,0.38250360896549884,0.2797321953242703,0.3294530244458735,-0.030316700234459613,-0.011984181465246768,-0.01261255809356109,-0.0414339574786794,-0.05584324444751413,0.008670549519136901,-0.07720009712201274,-0.010734376556927529,0.09119749090774532,0.3306373297397845,0.039289806755104954,0.09294255161628928,-0.09105713685686895,0.057931888655979445,-0.07312627276607693
home_venue_games,0.996870728281255,0.003449315108342269,-0.07371423386299024,0.04427735816855971,-0.04768365365669508,-0.09556159927866147,0.030008241040166122,0.15885040586863194,0.27038880772087615,0.32946001318544865,1.0,0.0716764322191841,0.11145273454098804,0.027355785009752793,0.07812698904267912,0.23777742426046802,0.9960635625978304,-0.018515953397523443,0.016294907454220277,-0.021358601833238972,-0.06862125686444889,-0.04268160209310814,-0.017642489159147866,0.06889794663050725,0.22166973621276498,0.34106916543767124,0.9947956626259524,0.1220210907759294,0.060970035439475385,-0.09107246570689005,0.04229294051192835,0.11728702802160947
home_venue_goals_avg,0.06593923972246851,0.7337087921141343,-0.31879646529435235,0.638824248494848,0.5638441826716443,-0.23756891333331062,0.5135309079631483,0.5246877269600702,0.5844057778629363,0.35306832583746195,0.0716764322191841,1.0,-0.06924398731605043,0.2299711701428662,0.4884020557299455,0.4926001089043045,0.06559866195121515,-0.023251109502693622,-0.08045899602817827,0.03153913131361149,0.018263274982095,-0.052295534743503444,0.04559821384565455,-0.023490528943150377,0.018333448880565702,0.10188253882470909,0.07106868925953223,0.12467519788442859,-0.024088696356408593,-0.03142622869475969,0.07148295500366111,-0.04257092078690319
home_venue_conceded_avg,0.10627661231927141,-0.15949859503244615,0.5404500993695549,-0.40815227322567027,-0.11706308042986943,0.4151481271830649,-0.3389085430395505,-0.0420473532679236,-0.0838828262191616,-0.12357903923140068,0.11145273454098804,-0.06924398731605043,1.0,-0.5450953702240953,-0.08066301434094544,-0.08232668684892955,0.10780663231267001,0.05145847913951834,-0.05789131613733367,0.0666479819041058,0.047315172562258284,-0.027729348810566976,0.04889315514796046,0.04890497748040924,0.07608852466184347,0.07134040548372227,0.10742385705798824,0.14822154352330394,-0.023918871965968976,0.024311054999945965,0.02767662980333467,-0.028064228957401932
home_clean_sheets_ratio,0.03373516546086257,0.34626070833926137,-0.7406957529679579,0.6388310737929366,0.2882458750911635,-0.5366368270429878,0.5261606750918909,0.08175821741946235,0.17319316589549189,0.33058779691872836,0.027355785009752793,0.2299711701428662,-0.5450953702240953,1.0,0.08243425704573137,0.07810254884576857,0.03124206558356488,-0.04591074707964111,-0.0236618155980464,-0.01591190290268531,-0.020424146092720967,-0.03418788883067346,0.008554102829295356,-0.14569874598343696,-0.08865549124747023,0.036473340868227774,0.03511353356507713,0.0477063911541763,0.061450008348449804,-0.043688597504166066,0.09030136782588093,-0.14985440332544897
home_scoring_ratio,0.06682315612808298,0.7183168278358972,-0.2755406244234463,0.604522675013165,0.6056465486512296,-0.27273658965064296,0.5627500469513331,0.49642606747779433,0.5628975179439493,0.38250360896549884,0.07812698904267912,0.4884020557299455,-0.08066301434094544,0.08243425704573137,1.0,0.32516935995604684,0.06710595104596699,-0.13366746805993893,-0.12250695730572858,-0.01532202440012691,-0.10503417005972372,-0.12247901200468927,0.009717916659069827,-0.036532525411871665,-0.0521168004562815,-0.056571047096677464,0.07087720133425662,0.05458459125733842,0.010694838743865563,-0.010726784534217913,-0.0017461183030707639,-0.0362955241036688
home_avg_corners,0.22314204941383498,0.41141285108625797,-0.27590911830687,0.41373353242972105,0.3247363615135997,-0.2484919342173589,0.3666662911133872,0.794891506774944,0.787676273647738,0.2797321953242703,0.23777742426046802,0.4926001089043045,-0.08232668684892955,0.07810254884576857,0.32516935995604684,1.0,0.22288818128357935,0.057149617271139354,-0.035133372489455944,0.0571563021549701,0.04630979883510801,-0.05454940347173895,0.06546657472036344,0.045551327694936285,0.11217233440013089,0.16037015035318242,0.22998260176341195,0.09945477338168594,0.043384813024803966,0.006263199436567118,0.09287030431976333,0.055548396822700796
away_games_played,0.9991002522192076,-0.005106811366564523,-0.07667889598941688,0.04064693251164374,-0.05176884951714636,-0.09332182083698391,0.025958321541176225,0.14257008088157067,0.2571245155100662,0.3294530244458735,0.9960635625978304,0.06559866195121515,0.10780663231267001,0.03124206558356488,0.06710595104596699,0.22288818128357935,1.0,-0.02293856294703097,0.01961311550937658,-0.02612832132504759,-0.07409448017750951,-0.03751016193203089,-0.02456013802298082,0.07536920445597625,0.22491169631824098,0.33662750538540787,0.9968687598486645,0.11840325180048747,0.0647785139411777,-0.09366719960602807,0.03954028213362021,0.12218697757916036
away_avg_goals_scored,-0.01911635905314054,-0.12954994854575685,0.0036915713937776856,-0.08273447639360867,-0.09930605351412498,-0.0034242592362467563,-0.06170196063977802,0.02877208634602997,0.013334273303661874,-0.030316700234459613,-0.018515953397523443,-0.023251109502693622,0.05145847913951834,-0.04591074707964111,-0.13366746805993893,0.057149617271139354,-0.02293856294703097,1.0,-0.33542546414829094,0.8385848130664886,0.8239103188799243,-0.2856630113794746,0.7246770221504213,0.5494701081121068,0.6963323169356768,0.5200918498015906,-0.030149967476427994,0.6343910992623093,-0.23999483218152023,0.21506625379015917,0.7243445082112672,0.5099792562128768
away_avg_goals_conceded,0.016520756837181603,-0.14681989242260288,0.14981800615796717,-0.17699954921935993,-0.16094220553343716,0.11496658962614786,-0.17652370798736444,-0.03594390002050204,-0.03506514299442772,-0.011984181465246768,0.016294907454220277,-0.08045899602817827,-0.05789131613733367,-0.0236618155980464,-0.12250695730572858,-0.035133372489455944,0.01961311550937658,-0.33542546414829094,1.0,-0.7944934041495083,-0.2573826459124776,0.7569551758018577,-0.6554364591309798,-0.25174296059113516,-0.2710745232958428,-0.17003892237986112,0.0162833505740381,-0.11479593638466326,0.6797342236988194,-0.7814128830336314,-0.22952107067677072,-0.27850298035955956
away_avg_goal_diff,-0.021876236302080992,0.0013916968628207092,-0.08425594452584337,0.04902183112185676,0.029053984942166797,-0.06868932675771214,0.06230459460708115,0.039332352614476485,0.028872706225142597,-0.01261255809356109,-0.021358601833238972,0.03153913131361149,0.0666479819041058,-0.01591190290268531,-0.01532202440012691,0.0571563021549701,-0.02612832132504759,0.8385848130664886,-0.7944934041495083,1.0,0.6799443136040925,-0.6218695739483177,0.8461602630045398,0.49977405734599833,0.6056229243870713,0.43358913731195725,-0.028851408734476038,0.4753229560341927,-0.5477763289559318,0.5905048769041283,0.5996508663871919,0.48979213720924847
away_recent_avg_goals,-0.07178842241111114,-0.07722948547242793,-0.008768734516847487,-0.04305159228417357,-0.010409243572377748,0.015078976198780075,-0.01627033963603281,0.02806433280965375,0.01025422745348636,-0.0414339574786794,-0.06862125686444889,0.018263274982095,0.047315172562258284,-0.020424146092720967,-0.10503417005972372,0.04630979883510801,-0.07409448017750951,0.8239103188799243,-0.2573826459124776,0.6799443136040925,1.0,-0.18454136852077582,0.7753497539804542,0.46763716528229415,0.562753611854933,0.38448791095614987,-0.07704984919844429,0.548605057544073,-0.17583960077863678,0.18486336930022867,0.611092511586854,0.42044251000298666
away_recent_avg_conceded,-0.0423684947273988,-0.1094497865744107,0.1285699878422519,-0.1415983885681082,-0.12802721680735207,0.09347337059531716,-0.1417041633498715,-0.06561084343890054,-0.07632039296214485,-0.05584324444751413,-0.04268160209310814,-0.052295534743503444,-0.027729348810566976,-0.03418788883067346,-0.12247901200468927,-0.05454940347173895,-0.03751016193203089,-0.2856630113794746,0.7569551758018577,-0.6218695739483177,-0.18454136852077582,1.0,-0.7637694543715771,-0.2580305363582364,-0.274567339919549,-0.1499094211148684,-0.036869161768631024,-0.16177094900722902,0.49005491251107797,-0.5731532829339052,-0.23660525307621808,-0.25638090111913503
away_recent_avg_goal_diff,-0.01992377917825133,0.019607012378972773,-0.08837404026442448,0.06271167780394774,0.07542976530451398,-0.0501596203863607,0.08036875020421233,0.06059124374585619,0.055775730637760916,0.008670549519136901,-0.017642489159147866,0.04559821384565455,0.04889315514796046,0.008554102829295356,0.009717916659069827,0.06546657472036344,-0.02456013802298082,0.7246770221504213,-0.6554364591309798,0.8461602630045398,0.7753497539804542,-0.7637694543715771,1.0,0.47293199442158,0.5460275841126804,0.348846909601796,-0.026913020116542206,0.46425585740555586,-0.43037982855790957,0.4897027453008686,0.5533818546456404,0.4408759897599613
away_avg_shots,0.07176086700422594,-0.10099805472691618,0.10579410238474056,-0.12332115682034814,-0.04633816391587091,0.10747984492156072,-0.09805341323459443,-0.004409050877391546,-0.02562382812298058,-0.07720009712201274,0.06889794663050725,-0.023490528943150377,0.04890497748040924,-0.14569874598343696,-0.036532525411871665,0.045551327694936285,0.07536920445597625,0.5494701081121068,-0.25174296059113516,0.49977405734599833,0.46763716528229415,-0.2580305363582364,0.47293199442158,1.0,0.8909508381069812,0.1380103726396421,0.06199406663262578,0.5519040492717486,-0.22687725144886953,0.10754540761914873,0.40037779699237597,0.8133096870744526
away_avg_shots_on_target,0.22384924925309163,-0.09654247350421966,0.04650931185984792,-0.08666457215103804,-0.05483912140082462,0.061072477463373874,-0.07405373859150821,0.043942530531534435,0.04193192618495978,-0.010734376556927529,0.22166973621276498,0.018333448880565702,0.07608852466184347,-0.08865549124747023,-0.0521168004562815,0.11217233440013089,0.22491169631824098,0.6963323169356768,-0.2710745232958428,0.6056229243870713,0.562753611854933,-0.274567339919549,0.5460275841126804,0.8909508381069812,1.0,0.5619235715959793,0.21343516622671868,0.6427311190323304,-0.19876727503937475,0.10677323922225122,0.5846914004025434,0.7364334630777859
away_shot_accuracy,0.3407301765433305,-0.040546244177962286,-0.08499880365628164,0.023346592710394253,-0.04626338951528304,-0.0555654709319659,0.005525080117914491,0.10132518915358049,0.12871816151317225,0.09119749090774532,0.34106916543767124,0.10188253882470909,0.07134040548372227,0.036473340868227774,-0.056571047096677464,0.16037015035318242,0.33662750538540787,0.5200918498015906,-0.17003892237986112,0.43358913731195725,0.38448791095614987,-0.1499094211148684,0.348846909601796,0.1380103726396421,0.5619235715959793,1.0,0.3343474188842678,0.37568879818528794,-0.050520547980673694,0.08752470281965459,0.514550210530133,0.15305327192206
away_venue_games,0.9959708232772271,-0.0014451530041152659,-0.07905526533652148,0.044283934718269614,-0.04839152155182903,-0.10161678875937494,0.03339784141403789,0.14797420443902035,0.26186514653083925,0.3306373297397845,0.9947956626259524,0.07106868925953223,0.10742385705798824,0.03511353356507713,0.07087720133425662,0.22998260176341195,0.9968687598486645,-0.030149967476427994,0.0162833505740381,-0.028851408734476038,-0.07704984919844429,-0.036869161768631024,-0.026913020116542206,0.06199406663262578,0.21343516622671868,0.3343474188842678,1.0,0.11391519722916979,0.06086770429942557,-0.08719221897615766,0.02851938701333446,0.10526318674145159
away_venue_goals_avg,0.12051877478780039,-0.019504089527942643,-0.08301547972935988,0.03530849406194294,0.0038702351322913013,-0.07268461168188546,0.04864266018823502,0.0775052563825739,0.07842017687585899,0.039289806755104954,0.1220210907759294,0.12467519788442859,0.14822154352330394,0.0477063911541763,0.05458459125733842,0.09945477338168594,0.11840325180048747,0.6343910992623093,-0.11479593638466326,0.4753229560341927,0.548605057544073,-0.16177094900722902,0.46425585740555586,0.5519040492717486,0.6427311190323304,0.37568879818528794,0.11391519722916979,1.0,-0.02783810929740696,-0.04058377228456544,0.58342675963054,0.35213633865692
away_venue_conceded_avg,0.06071026526038329,-0.11254031228118648,-0.0772257967245834,-0.025901052233768766,-0.1134462313573882,-0.06685165406299809,-0.03052221784405619,0.03597248077077767,0.05418291339491268,0.09294255161628928,0.060970035439475385,-0.024088696356408593,-0.023918871965968976,0.061450008348449804,0.010694838743865563,0.043384813024803966,0.0647785139411777,-0.23999483218152023,0.6797342236988194,-0.5477763289559318,-0.17583960077863678,0.49005491251107797,-0.43037982855790957,-0.22687725144886953,-0.19876727503937475,-0.050520547980673694,0.06086770429942557,-0.02783810929740696,1.0,-0.5327468778278082,0.012453844217384234,-0.22757472697122963
away_clean_sheets_ratio,-0.09121186402500593,0.05208090489261906,-0.045593319432195765,0.05847066856413692,0.07749907978931372,-0.03710166370810384,0.07340825644049608,-0.016705749005070665,-0.04128427904448077,-0.09105713685686895,-0.09107246570689005,-0.03142622869475969,0.024311054999945965,-0.043688597504166066,-0.010726784534217913,0.006263199436567118,-0.09366719960602807,0.21506625379015917,-0.7814128830336314,0.5905048769041283,0.18486336930022867,-0.5731532829339052,0.4897027453008686,0.10754540761914873,0.10677323922225122,0.08752470281965459,-0.08719221897615766,-0.04058377228456544,-0.5327468778278082,1.0,-0.02577538062290952,0.1707341894137262
away_scoring_ratio,0.04112626517728563,-0.005655767184572023,-0.12967150419542772,0.07059273568509505,0.018078552752530615,-0.11140316881748569,0.08236730924080353,0.06088149885321189,0.07181174618094717,0.057931888655979445,0.04229294051192835,0.07148295500366111,0.02767662980333467,0.09030136782588093,-0.0017461183030707639,0.09287030431976333,0.03954028213362021,0.7243445082112672,-0.22952107067677072,0.5996508663871919,0.611092511586854,-0.23660525307621808,0.5533818546456404,0.40037779699237597,0.5846914004025434,0.514550210530133,0.02851938701333446,0.58342675963054,0.012453844217384234,-0.02577538062290952,1.0,0.3403590548716035
away_avg_corners,0.12040757729741905,-0.08568163643781675,0.11105875747881698,-0.1167980462660013,-0.04802563646873769,0.11660892491501203,-0.10493561704912238,-0.010592417344389883,-0.02754893524864818,-0.07312627276607693,0.11728702802160947,-0.04257092078690319,-0.028064228957401932,-0.14985440332544897,-0.0362955241036688,0.055548396822700796,0.12218697757916036,0.5099792562128768,-0.27850298035955956,0.48979213720924847,0.42044251000298666,-0.25638090111913503,0.4408759897599613,0.8133096870744526,0.7364334630777859,0.15305327192206,0.10526318674145159,0.35213633865692,-0.22757472697122963,0.1707341894137262,0.3403590548716035,1.0
